"sid","instance","key","apical_class","zone","zone_um","surf","abs","mtic","citdha","dha_sn","dha_abs"
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",7,500,1.45347954005618,5.57377726537343e-05,5.07567788799975e-05,3.05254029380048e-06,0.0101700855334781,0.118553490297002
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",1,10,0.342488112358776,3.71470694509593e-06,1.24630144952186e-06,4.12335801979317e-07,0.228541211122239,1.64577827406609
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",2,20,0.916179000815669,9.93709379820991e-06,5.02456833602533e-06,1.10302632244999e-06,0.119962460490619,0.863877504671894
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",3,50,0.799605672761688,8.67271195338419e-06,5.91379246989449e-06,9.62678803870471e-07,0.0676184403296869,0.486936073692682
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",4,80,0.47664562302935,5.16981098708004e-06,3.70351438107642e-06,5.73853655468934e-07,0.0647202071707377,0.466065224436416
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",5,160,0.751322396982465,8.14902014220339e-06,6.53510083870611e-06,9.04548543221429e-07,0.0418848776092579,0.301622719345632
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",6,250,0.744073131935844,8.07039290159623e-06,7.01656517183658e-06,8.95820849006956e-07,0.0333369031019586,0.240066772117106
"AO_0h_sl6A_sec3b",1,"AO_0h_sl6A_sec3b 1","basolateral_out",7,500,0.827832099857863,8.97886244733058e-06,5.95585685338417e-06,9.96661783231577e-07,0.0634798535109642,0.457133150018023
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",1,10,1.54034206241135,1.13314733391577e-05,3.19025073415684e-06,1.38579505589217e-06,0.221402871131676,1.63042169429945
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",2,20,0.332807815217013,2.44828923212759e-06,1.19591420619579e-06,2.99416237564799e-07,0.134793187421153,0.992623699466458
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",3,50,1.66512710090438,1.22494501777542e-05,7.12012725420511e-06,1.49806004794351e-06,0.091400174337785,0.673075404764958
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",4,80,1.22420015455022,9.00578628058921e-06,5.8728048388642e-06,1.10137258664633e-06,0.0585485980306282,0.431154771896258
